web-scraper-order,web-scraper-start-url,month,month-href,days,days-href,news
1698765879-32,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Greater Noida: Group turns away party intruder from farmhouse, attacked, cars vandalised"
1698765879-33,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Another couple stages dharna on stairs for flat ‘illegally occupied’ by tenant in Noida Extension
1698765879-34,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Height restrictions removed from buildings near Navi Mumbai airport
1698765879-35,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Height restrictions removed from buildings near Navi Mumbai airport
1698765879-36,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Monsoon flooding: Noida sets up call centre, helpline"
1698765879-37,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","No Gujaratis, no money in Mumbai, says governor B S Koshyari; draws all-party fire"
1698765879-38,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","5 girls do Mumbai college proud, top the final BUMS exams"
1698765879-39,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",ABVP activists enter Karnataka HM Araga Jnanendra’s home; demand ban on PFI
1698765879-40,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Ex-Mumbai opener Adhikari no more
1698765879-41,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Hesaraghatta reserve: Karnataka HC asks board to decide afresh
1698765879-42,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Serial murders pose challenge for govt in poll-bound Karnataka
1698765879-43,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms",Serial murders pose challenge for govt in poll-bound Karnataka
1698765879-44,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Bengaluru: Man sues airline for not loading bag with power bank, loses case"
1698765879-45,https://timesofindia.indiatimes.com/archive.cms,July,"https://timesofindia.indiatimes.com/archive/year-2022,month-7.cms",31,"https://timesofindia.indiatimes.com/2022/7/31/archivelist/year-2022,month-7,starttime-44773.cms","Bengaluru: After tigress, lioness dies of illness at Bannerghatta Biological Park"
